"","cits","conds","X1","X2","X3","X4","X5","X6"
"26","Edinburgh","hat",0.344794579610402,0.0368239355581128,0.0240343347639485,0.0123936816524909,0.00811688311688312,0.00464252553389044
"27","Edinburgh","hyp",0.141852865732637,0.361334867663982,0.292703862660944,0.23232077764277,0.181818181818182,0.185701021355617
"28","Edinburgh","str",0.349402802001352,0.0268507863444572,0.0168812589413448,0.00899149453219927,0.00568181818181818,0.00371402042711235
"29","Glasgow","ang",0.326687813017439,0.0959069992734318,0.0430586488492947,0.021256715720626,0.0177215189873418,0.0112044817927171
"30","Glasgow","hat",0.256323577130369,0.0525550980867038,0.0269735214055927,0.0177528614809624,0.0123417721518987,0.0140056022408964
"31","Glasgow","hyp",0.131745915919074,0.385565512230564,0.299183370452858,0.219574865685587,0.190189873417722,0.156862745098039
"32","Glasgow","str",0.370877911078497,0.0440784693630419,0.0178173719376392,0.00700770847932726,0.00632911392405063,0.00560224089635854
"33","Hounslow","ang",0.303188520946083,0.0405832320777643,0.0262419871794872,0.016223448737247,0.0148919135308247,0.00707463742483198
"34","Hounslow","hat",0.295835593514699,0.0306196840826245,0.0266426282051282,0.0127111557116575,0.0100880704563651,0.00707463742483198
"35","Hounslow","hyp",0.119260281820864,0.339489671931956,0.306089743589744,0.251045325305235,0.218254603682946,0.172974885037142
"36","Hounslow","str",0.298833414093677,0.0206561360874848,0.0144230769230769,0.00769359424652952,0.00832666132906325,0.00318358684117439
"37","Leeds","ang",0.269739365931609,0.0603361905822108,0.033969010727056,0.0181284180676524,0.0131746706332342,0.0110103626943005
"38","Leeds","hat",0.236147155223108,0.0433040187019927,0.0257250695272149,0.015799068260077,0.0117580393823488,0.0077720207253886
"39","Leeds","hyp",0.100818935466597,0.343315150840476,0.283075089392133,0.231517115657282,0.192095197620059,0.158678756476684
"40","Leeds","str",0.283146540596801,0.028498274518535,0.0150973381009138,0.00698804942272635,0.00651650375407281,0.00647668393782383
"41","Liverpool","ang",0.225023967877062,0.0715404699738903,0.0393133272179269,0.0275812274368231,0.0139240506329114,0.0145089285714286
"42","Liverpool","hat",0.191890803105783,0.0445169712793734,0.0284366400209671,0.0179061371841155,0.0118143459915612,0.015625
"43","Liverpool","hyp",0.0880187153195925,0.360052219321149,0.297339798191587,0.245342960288809,0.20084388185654,0.193080357142857
"44","Liverpool","str",0.238974327575858,0.0323759791122715,0.0154632420390512,0.0124187725631769,0.00569620253164557,0.00558035714285714
