State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke
South Carolina,18-31000,54.57,85.69,8.79,7.65,6.72
South Carolina,31-52000,44.55,87.67,5.25,6.06,3.13
South Carolina,52-100000,41.46,90.23,4.15,5.41,2.81
South Carolina,<18000,61.86,81.86,12.24,9.62,9.62
South Carolina,>100000,37.44,94.4,2.76,4.18,2.35
South Carolina,Unknown,50.94,87.35,6.85,6.66,6.61
South Dakota,18-31000,46.72,83.48,9.19,9.25,5.91
South Dakota,31-52000,39.63,85.16,7.22,6.71,2.54
South Dakota,52-100000,37.63,89.07,5.38,5.47,1.79
South Dakota,<18000,51.1,73.35,12.22,10.82,9.42
South Dakota,>100000,27.66,90.27,2.85,3.61,1.46
South Dakota,Unknown,43.19,79.72,6.51,6.06,5.01
Tennessee,18-31000,54.23,85.34,10.44,8.26,8.58
Tennessee,31-52000,49.35,89.53,8.32,8.61,5.74
Tennessee,52-100000,45.95,92.18,4.41,5.55,2.84
Tennessee,<18000,64.2,87.76,15.26,11.93,13.75
Tennessee,>100000,36.06,95.23,2.97,3.96,1.8
Tennessee,Unknown,49.92,86.69,8.14,7.63,6.27
Texas,18-31000,45.32,79.92,7.72,7.64,6.13
Texas,31-52000,45.19,86.73,6.17,6.23,4.32
Texas,52-100000,40.82,89.29,4.46,5.67,3.3
Texas,<18000,48.33,76.56,9.3,8.42,9.49
Texas,>100000,34.85,92.12,3.22,4.21,1.99
Texas,Unknown,43.38,82.55,7.03,5.69,5.41
Utah,18-31000,34.31,72.96,6.36,4.92,4.14
Utah,31-52000,30.06,77.53,3.58,3.44,2.53
Utah,52-100000,27.92,82.61,2.78,2.18,2.56
Utah,<18000,34.83,64.31,7.24,6.38,6.21
Utah,>100000,24.97,86.87,2.43,2.4,1.6
Utah,Unknown,32.57,69.16,4.35,3.57,3.63
Vermont,18-31000,39.41,86.74,6.96,6.37,4.59
Vermont,31-52000,34.71,88.78,4.13,3.31,2.83
Vermont,52-100000,32.71,88.41,4.32,4.32,1.57
Vermont,<18000,45.96,84.3,10.85,10.39,10.39
Vermont,>100000,28.34,92.83,1.88,3.12,1.23
Vermont,Unknown,35.24,85.01,6.69,5.53,2.85
Virginia,18-31000,48.42,84.65,7.76,7.2,6.43
Virginia,31-52000,43.05,89.34,5.64,4.39,3.55
Virginia,52-100000,39.55,89.77,3.87,4.04,2.41
Virginia,<18000,54.78,79.78,9.19,8.64,11.58
Virginia,>100000,30.92,92.94,2.16,2.84,1.84
Virginia,Unknown,41.56,86.2,4.7,4.48,5.14
Washington,18-31000,43.86,81.58,8.38,7.74,6.14
Washington,31-52000,43.93,86.96,6.47,6.17,4.35
Washington,52-100000,39.18,89.58,5.12,5.63,3.01
Washington,<18000,43.41,76.99,9.18,7.61,6.86
Washington,>100000,30.52,91.85,2.49,3.29,2.05
Washington,Unknown,39.04,82.18,5.26,4.88,4.74
West Virginia,18-31000,51.35,87.34,10.38,10.31,6.44
West Virginia,31-52000,44.43,90.05,5.57,7.03,4.38
West Virginia,52-100000,45.66,92.02,5.88,8.26,2.52
West Virginia,<18000,54.89,81.65,13.46,12.39,10.7
West Virginia,>100000,34.59,91.56,3.21,3.85,1.83
