State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke,Diabetes,Arthritis,COPD,Asthma
Louisiana,<18000,64.79,82.58,11.43,13.97,13.25,28.68,54.45,21.96,22.87
Louisiana,>100000,35.65,88.76,3.88,4.29,1.43,8.99,25.03,3.47,11.24
Louisiana,Unknown,48.2,82.66,7.42,6.32,5.45,15.92,36.64,8.51,13.74
Maine,18-31000,47.43,90.08,8.92,8.49,5.44,16.88,45.65,13.1,15.8
Maine,31-52000,40.96,89.8,6.35,6.02,3.45,11.16,36.63,7.71,13.9
Maine,52-100000,37.14,94.29,4.04,4.74,2.79,9.76,33.59,5.09,12.54
Maine,<18000,51.31,87.14,11.43,11.07,9.88,21.55,55.95,26.55,22.62
Maine,>100000,32.3,95.09,2.97,3.15,1.67,5.41,26.58,2.43,12.43
Maine,Unknown,40.73,86.29,5.24,5.95,3.93,11.19,40.52,8.97,15.42
Maryland,18-31000,55.4,91.2,9.39,9.92,7.93,21.89,46.89,15.32,16.05
Maryland,31-52000,53.04,92.57,6.39,5.67,4.07,17.33,42.09,8.07,12.94
Maryland,52-100000,43.8,93.24,4.96,5.76,3.75,13.8,34.36,6.03,11.19
Maryland,<18000,57.21,86.91,10.29,11.47,8.68,24.41,50.15,20.88,20.29
Maryland,>100000,35.27,95.35,2.88,3.58,1.97,9.36,26.22,3.58,11.83
Maryland,Unknown,46.05,91.0,6.9,6.29,5.26,15.14,41.56,9.8,13.57
Massachusetts,18-31000,44.74,86.3,7.34,7.28,5.78,16.42,39.19,12.08,16.76
Massachusetts,31-52000,38.46,86.57,6.89,6.08,3.67,12.17,32.61,8.38,15.61
Massachusetts,52-100000,35.76,90.84,4.28,3.78,2.19,8.67,31.18,5.38,15.14
Massachusetts,<18000,43.99,84.46,9.82,7.62,6.89,19.35,42.23,17.3,25.07
Massachusetts,>100000,25.97,92.22,2.18,2.76,1.09,5.53,21.26,2.7,14.23
Massachusetts,Unknown,34.97,83.64,4.23,4.7,3.24,11.24,32.83,7.42,15.0
Michigan,18-31000,46.26,84.31,8.26,8.11,5.47,17.5,44.5,13.99,15.13
Michigan,31-52000,44.76,90.15,5.93,6.29,5.01,13.22,41.57,7.47,12.12
Michigan,52-100000,36.81,88.85,4.73,4.89,3.05,9.3,33.68,5.21,13.55
Michigan,<18000,46.74,77.53,9.29,7.77,7.07,18.03,46.46,20.94,24.41
Michigan,>100000,30.32,91.93,2.66,3.74,1.46,7.36,24.5,3.87,13.52
Michigan,Unknown,40.03,83.12,4.9,5.92,5.04,12.19,37.44,8.92,14.5
Minnesota,18-31000,39.14,81.2,8.07,6.45,5.09,14.31,37.27,10.12,12.77
Minnesota,31-52000,36.18,84.92,4.5,5.17,2.42,10.72,29.49,5.26,9.91
Minnesota,52-100000,32.63,89.21,4.05,4.52,2.1,9.03,25.58,4.05,9.74
Minnesota,<18000,41.73,76.15,7.76,6.07,6.19,17.66,41.39,12.71,16.54
Minnesota,>100000,24.46,90.82,2.07,2.43,1.38,5.48,18.76,2.18,9.03
Minnesota,Unknown,36.34,83.36,4.7,4.89,3.64,10.45,30.7,5.76,11.59
Mississippi,18-31000,57.92,85.09,7.81,7.92,7.04,21.56,42.3,10.78,12.32
Mississippi,31-52000,51.74,89.91,7.1,7.26,4.1,17.19,36.91,6.94,8.68
Mississippi,52-100000,45.85,88.87,3.99,5.32,3.49,14.78,30.56,5.15,9.8
Mississippi,<18000,69.56,81.92,11.21,9.51,10.68,26.64,53.91,16.6,16.49
Mississippi,>100000,41.73,91.89,2.88,3.95,1.81,11.53,28.07,4.27,6.72
Mississippi,Unknown,56.4,86.46,7.1,6.16,7.84,19.23,43.32,9.15,9.43
Missouri,18-31000,48.81,82.72,11.05,9.14,8.08,20.43,44.12,12.77,14.61
Missouri,31-52000,44.63,86.62,6.25,6.58,4.39,14.58,36.07,8.88,11.73
Missouri,52-100000,43.41,88.98,5.29,4.75,3.67,15.01,34.02,7.02,11.45
Missouri,<18000,52.97,78.86,10.83,9.91,12.81,26.55,49.67,25.23,22.85
Missouri,>100000,33.66,91.63,3.6,4.05,2.51,8.56,26.9,3.54,11.26
Missouri,Unknown,46.36,84.64,7.06,6.45,7.68,14.27,42.73,10.91,11.11
Montana,18-31000,44.23,81.94,8.31,7.19,5.87,14.9,42.78,11.01,12.85
Montana,31-52000,38.32,85.88,5.81,4.86,4.51,11.03,38.08,4.98,10.91
Montana,52-100000,33.46,88.52,4.4,3.66,2.69,8.79,28.57,3.17,11.36
Montana,<18000,46.26,76.77,9.9,6.06,9.29,16.57,49.09,20.81,19.8
Montana,>100000,27.44,90.33,2.54,3.01,1.51,5.87,23.39,2.46,8.88
Montana,Unknown,38.68,82.03,5.04,4.49,4.31,9.53,34.19,6.97,11.73
Nebraska,18-31000,44.0,80.57,7.65,7.24,5.02,15.26,37.38,10.0,12.21
Nebraska,31-52000,39.73,84.65,5.22,5.07,3.05,11.83,31.26,5.78,10.96
Nebraska,52-100000,35.29,88.44,4.14,4.03,2.2,8.99,27.19,3.8,8.91
Nebraska,<18000,45.83,74.4,9.95,10.19,8.19,20.47,44.7,18.78,20.47
Nebraska,>100000,29.08,90.17,2.72,3.17,1.75,7.04,22.49,2.83,9.26
Nebraska,Unknown,41.46,79.97,6.28,6.32,3.9,12.36,34.93,6.57,10.59
Nevada,18-31000,38.33,80.03,7.49,5.14,4.7,13.22,30.25,12.33,15.27
Nevada,31-52000,38.61,86.08,6.65,6.33,3.48,14.56,35.13,8.86,14.24
Nevada,52-100000,38.35,90.12,5.41,4.24,3.53,11.53,31.06,7.29,13.41
Nevada,<18000,42.13,77.66,9.14,7.61,9.14,20.3,46.7,17.26,18.27
Nevada,>100000,32.12,92.2,4.3,4.97,1.88,7.39,26.48,5.38,13.58
Nevada,Unknown,36.98,82.41,5.75,5.21,3.95,10.41,32.14,11.49,14.36
New Hampshire,18-31000,48.11,90.44,9.95,10.18,7.86,17.35,48.8,16.73,17.12
New Hampshire,31-52000,47.44,93.38,6.74,7.24,2.87,13.23,39.58,8.49,11.24
New Hampshire,52-100000,35.93,92.62,5.06,5.58,2.74,12.54,32.67,5.8,13.07
New Hampshire,<18000,52.04,85.61,11.27,11.27,7.43,20.62,57.07,23.26,23.5
New Hampshire,>100000,29.64,94.39,2.71,2.95,1.38,6.65,24.61,2.71,11.92
New Hampshire,Unknown,41.98,89.66,5.77,5.91,2.6,11.25,39.8,8.79,13.64
New Jersey,18-31000,44.29,85.4,7.55,7.01,5.35,16.13,37.47,10.56,14.02
New Jersey,31-52000,41.48,87.02,5.14,5.59,3.43,11.99,33.99,7.39,11.0
New Jersey,52-100000,38.31,89.53,4.97,4.75,2.23,10.1,31.25,6.98,11.43
New Jersey,<18000,45.44,80.97,5.19,7.55,5.19,19.97,40.41,14.47,19.18
New Jersey,>100000,31.93,93.51,2.51,3.39,1.46,7.31,22.47,3.08,9.8
New Jersey,Unknown,38.56,86.67,5.06,4.91,3.64,12.43,31.05,6.43,10.26
New Mexico,18-31000,40.53,80.02,7.62,5.79,5.11,16.43,35.05,10.64,14.76
New Mexico,31-52000,41.83,88.57,6.03,5.9,3.27,13.19,33.67,8.67,12.94
New Mexico,52-100000,37.78,88.92,4.41,4.65,2.5,11.08,31.59,6.79,15.14
New Mexico,<18000,46.17,75.09,8.02,6.68,7.29,22.11,40.83,13.37,16.28
New Mexico,>100000,32.18,90.38,3.31,2.78,1.65,7.29,26.77,3.38,13.53
New Mexico,Unknown,39.52,81.77,6.64,6.01,4.0,13.38,35.3,7.59,13.59
New York,18-31000,43.2,84.6,7.15,6.93,5.28,15.69,37.55,11.07,15.03
New York,31-52000,39.2,88.26,5.22,5.62,3.42,10.27,34.15,7.25,13.12
New York,52-100000,35.84,91.59,4.43,4.43,1.99,11.37,31.79,5.72,15.41
New York,<18000,46.27,82.68,8.26,7.46,6.57,19.98,39.25,14.03,22.82
New York,>100000,29.04,92.92,2.66,3.55,1.35,7.4,24.73,2.91,12.27
New York,Unknown,38.05,83.22,5.92,5.7,3.95,12.5,31.69,7.4,12.99
North Carolina,18-31000,46.69,81.36,6.98,7.16,5.5,15.27,36.15,12.01,13.37
North Carolina,31-52000,40.62,88.07,4.69,5.23,2.82,12.33,29.76,6.7,11.66
North Carolina,52-100000,34.8,87.87,2.7,4.9,2.21,9.56,26.23,4.78,10.66
North Carolina,<18000,52.11,78.41,9.25,10.06,9.09,22.24,43.51,17.05,21.43
North Carolina,>100000,31.79,93.28,3.36,3.92,1.75,6.79,23.25,3.01,10.43
North Carolina,Unknown,41.13,84.55,5.96,6.11,5.08,13.76,36.06,8.24,13.02
North Dakota,18-31000,49.69,82.14,8.52,7.8,5.13,15.71,39.63,10.68,14.07
North Dakota,31-52000,40.94,86.45,7.36,5.6,2.95,10.9,36.97,7.07,12.08
North Dakota,52-100000,37.32,86.22,5.72,5.07,2.47,10.66,29.91,5.46,10.79
North Dakota,<18000,56.77,81.58,14.66,10.53,10.53,24.44,50.38,14.66,19.92
North Dakota,>100000,30.92,89.24,2.5,3.07,1.34,6.59,21.45,2.94,10.24
North Dakota,Unknown,42.84,84.18,4.93,4.93,4.48,13.13,35.52,7.16,12.09
Ohio,18-31000,53.14,86.34,10.66,9.05,7.34,19.84,47.35,16.45,14.41
Ohio,31-52000,47.4,88.34,6.87,6.73,4.44,16.86,40.11,9.09,12.21
Ohio,52-100000,42.46,91.68,4.94,5.21,3.11,11.63,34.69,5.54,11.7
Ohio,<18000,54.57,82.5,13.08,12.68,10.32,22.03,53.49,26.06,21.83
